country_id,indicator_name
822,Annual GDP growth (percent change)
218,Annual GDP growth (percent change)
235,Annual GDP growth (percent change)
723,Annual GDP growth (percent change)
742,Annual GDP growth (percent change)
715,Annual GDP growth (percent change)
186,Annual GDP growth (percent change)
892,Annual GDP growth (percent change)
125,Annual GDP growth (percent change)
338,Annual GDP growth (percent change)
841,Annual GDP growth (percent change)
529,Annual GDP growth (percent change)
526,Annual GDP growth (percent change)
92,Annual GDP growth (percent change)
909,Annual GDP growth (percent change)
18,Annual GDP growth (percent change)
871,Annual GDP growth (percent change)
273,Annual GDP growth (percent change)
515,Annual GDP growth (percent change)
859,Annual GDP growth (percent change)
359,Annual GDP growth (percent change)
135,Annual GDP growth (percent change)
101,Annual GDP growth (percent change)
768,Annual GDP growth (percent change)
790,Annual GDP growth (percent change)
774,Annual GDP growth (percent change)
211,Annual GDP growth (percent change)
859,Annual GDP growth (percent change)
555,Annual GDP growth (percent change)
680,Annual GDP growth (percent change)
16,Annual GDP growth (percent change)
427,Annual GDP growth (percent change)
282,Annual GDP growth (percent change)
356,Annual GDP growth (percent change)
900,Annual GDP growth (percent change)
205,Annual GDP growth (percent change)
644,Annual GDP growth (percent change)
61,Annual GDP growth (percent change)
256,Annual GDP growth (percent change)
616,Annual GDP growth (percent change)
775,Annual GDP growth (percent change)
913,Annual GDP growth (percent change)
587,Annual GDP growth (percent change)
465,Annual GDP growth (percent change)
982,Annual GDP growth (percent change)
883,Annual GDP growth (percent change)
948,Annual GDP growth (percent change)
351,Annual GDP growth (percent change)
43,Annual GDP growth (percent change)
524,Annual GDP growth (percent change)
298,Annual GDP growth (percent change)
257,Annual GDP growth (percent change)
24,Annual GDP growth (percent change)
738,Annual GDP growth (percent change)
763,Annual GDP growth (percent change)
340,Annual GDP growth (percent change)
39,Annual GDP growth (percent change)
334,Annual GDP growth (percent change)
135,Annual GDP growth (percent change)
558,Annual GDP growth (percent change)
983,Annual GDP growth (percent change)
467,Annual GDP growth (percent change)
71,Annual GDP growth (percent change)
839,Annual GDP growth (percent change)
492,Annual GDP growth (percent change)
162,Annual GDP growth (percent change)
340,Annual GDP growth (percent change)
43,Annual GDP growth (percent change)
389,Annual GDP growth (percent change)
643,Annual GDP growth (percent change)
568,Annual GDP growth (percent change)
720,Annual GDP growth (percent change)
372,Annual GDP growth (percent change)
269,Annual GDP growth (percent change)
663,Annual GDP growth (percent change)
956,Annual GDP growth (percent change)
203,Annual GDP growth (percent change)
607,Annual GDP growth (percent change)
98,Annual GDP growth (percent change)
850,Annual GDP growth (percent change)
531,Annual GDP growth (percent change)
765,Annual GDP growth (percent change)
939,Annual GDP growth (percent change)
170,Annual GDP growth (percent change)
809,Annual GDP growth (percent change)
313,Annual GDP growth (percent change)
721,Annual GDP growth (percent change)
476,Annual GDP growth (percent change)
879,Annual GDP growth (percent change)
758,Annual GDP growth (percent change)
655,Annual GDP growth (percent change)
372,Annual GDP growth (percent change)
39,Annual GDP growth (percent change)
916,Annual GDP growth (percent change)
698,Annual GDP growth (percent change)
902,Annual GDP growth (percent change)
515,Annual GDP growth (percent change)
